이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
이진영,2009,1.34,50,114,18,1,14,69,5.0,40,1,7,30,19,2,2,0.3,0.366,0.463,0.829,109.8,0
임재철,2009,0.99,61,101,13,1,6,50,11.0,52,12,0,63,14,2,1,0.281,0.389,0.373,0.762,102.3,0
김현수,2010,5.31,88,150,29,0,24,89,4.0,78,6,6,64,9,0,8,0.317,0.414,0.531,0.945,155.2,1
이용규,2010,4.08,74,145,19,1,3,51,25.0,64,9,2,50,10,7,3,0.307,0.398,0.371,0.769,119.1,0
김강민,2010,3.94,74,127,19,2,10,72,23.0,33,2,0,51,5,11,3,0.317,0.369,0.449,0.818,124.5,1
최형우,2010,3.61,71,117,29,1,24,97,4.0,71,8,5,91,13,2,5,0.279,0.389,0.524,0.913,138.7,0
박한이,2010,3.56,64,114,21,2,11,63,5.0,73,3,2,54,10,10,5,0.301,0.413,0.454,0.867,142.5,0
손아섭,2010,3.55,85,129,23,0,11,47,,50,1,0,82,2,9,5,0.306,0.377,0.438,0.815,126.0,0
이종욱,2010,3.34,66,129,16,2,5,45,30.0,45,4,1,46,3,6,3,0.312,0.383,0.397,0.78,118.8,1
이진영,2010,2.99,56,125,28,0,7,50,10.0,32,1,0,40,7,2,4,0.331,0.381,0.46,0.841,135.9,0
송지만,2010,2.8,52,109,15,1,17,63,5.0,41,8,4,85,5,2,6,0.291,0.367,0.472,0.839,117.4,0
장기영,2010,2.43,60,123,16,10,1,47,41.0,41,1,0,74,6,12,4,0.283,0.343,0.372,0.715,97.1,0
이영욱,2010,2.13,68,111,19,2,4,42,30.0,51,7,2,86,4,9,4,0.272,0.36,0.358,0.718,97.8,0
가르시아,2010,1.99,73,108,16,1,26,83,3.0,49,2,1,123,4,0,5,0.252,0.328,0.476,0.804,104.3,0
유한준,2010,1.95,52,140,27,0,9,79,2.0,49,1,0,81,17,8,4,0.291,0.355,0.403,0.758,109.8,0
김원섭,2010,1.65,43,84,16,3,5,28,,56,2,0,63,5,16,1,0.238,0.345,0.343,0.688,91.3,0
이대형,2010,1.52,73,129,14,2,1,43,66.0,58,2,0,76,3,13,1,0.261,0.341,0.304,0.645,81.4,0
김주찬,2010,1.07,89,134,18,4,9,40,65.0,31,5,1,65,5,11,3,0.276,0.324,0.386,0.71,86.8,0
이병규,2010,0.76,49,117,14,1,9,64,3.0,36,1,5,53,11,4,6,0.29,0.345,0.396,0.741,96.4,0
최형우,2011,7.86,80,163,37,3,30,118,4.0,76,5,15,88,8,0,10,0.34,0.427,0.617,1.044,183.5,1
이용규,2011,6.27,84,140,16,2,3,33,30.0,63,9,2,33,5,7,3,0.333,0.427,0.401,0.828,145.3,1
이병규,2011,4.84,64,164,24,0,16,75,2.0,28,2,1,47,10,2,2,0.338,0.375,0.487,0.862,144.5,0
손아섭,2011,4.23,79,144,25,5,15,83,13.0,43,2,1,80,6,1,4,0.326,0.385,0.507,0.892,150.3,1
강동우,2011,3.99,83,149,13,3,13,51,,62,2,1,71,9,12,4,0.288,0.363,0.4,0.763,115.3,0
김현수,2011,3.89,71,143,25,2,13,91,5.0,71,6,9,63,15,0,9,0.301,0.392,0.444,0.836,134.5,0
이종욱,2011,3.35,64,132,11,5,5,44,20.0,49,5,0,51,6,5,4,0.303,0.377,0.385,0.762,118.9,0
전준우,2011,2.94,97,162,38,5,11,64,23.0,50,7,4,101,14,2,3,0.301,0.366,0.451,0.817,126.9,0
정수빈,2011,2.68,66,118,17,8,1,38,31.0,40,11,0,77,5,8,3,0.285,0.361,0.372,0.733,105.2,0
유한준,2011,2.67,64,129,23,2,3,54,,52,4,3,63,11,4,4,0.289,0.365,0.369,0.734,109.8,0
알드리지,2011,2.62,55,98,20,1,20,73,6.0,59,2,2,139,5,0,5,0.237,0.331,0.435,0.766,105.7,0
박한이,2011,2.13,77,110,19,2,4,30,8.0,60,5,3,88,7,10,2,0.256,0.353,0.338,0.691,96.3,0
박용택,2012,4.82,82,152,34,3,11,76,30.0,42,7,1,66,9,1,7,0.305,0.362,0.451,0.813,139.3,1
이용규,2012,4.18,86,139,14,2,2,37,44.0,66,10,0,38,9,10,3,0.283,0.377,0.332,0.709,115.5,1
김원섭,2012,4.06,60,117,21,4,3,61,8.0,69,2,1,54,12,12,3,0.303,0.409,0.402,0.811,152.8,0
손아섭,2012,3.43,61,158,26,0,5,58,10.0,41,6,4,79,7,2,4,0.314,0.37,0.396,0.766,126.9,1
김현수,2012,3.19,47,127,17,1,7,65,6.0,46,3,2,50,9,0,5,0.291,0.358,0.382,0.74,120.0,0
박한이,2012,3.03,61,118,19,4,1,51,,58,1,3,72,8,13,3,0.304,0.393,0.381,0.774,139.0,0
이진영,2012,2.92,39,112,18,0,4,55,4.0,44,1,2,41,8,0,2,0.307,0.381,0.389,0.77,136.8,0
나지완,2012,2.89,40,109,17,1,11,56,7.0,56,13,4,93,9,8,5,0.274,0.377,0.405,0.782,124.9,0
김주찬,2012,2.44,62,128,27,3,5,39,32.0,30,7,1,48,7,11,5,0.294,0.346,0.405,0.751,117.2,0
장기영,2012,2.34,64,102,9,5,8,35,,40,3,0,67,1,14,4,0.246,0.315,0.35,0.665,89.5,0
김강민,2012,1.94,49,116,20,0,5,31,11.0,29,4,0,72,7,11,3,0.272,0.322,0.354,0.676,94.8,0
최형우,2012,1.81,51,125,27,1,14,77,2.0,55,5,3,76,20,0,10,0.271,0.348,0.425,0.773,122.3,0
배영섭,2012,1.74,64,101,15,2,2,34,27.0,48,9,0,69,4,7,3,0.245,0.335,0.306,0.641,87.3,0
이종욱,2012,1.66,57,105,17,1,0,39,21.0,43,3,2,43,2,9,5,0.24,0.309,0.284,0.593,70.1,0
전준우,2012,0.78,63,116,22,4,7,38,21.0,45,7,0,103,16,6,3,0.253,0.327,0.364,0.691,98.9,0
이병규,2012,0.74,52,126,25,1,5,41,5.0,22,2,1,58,18,5,6,0.3,0.333,0.4,0.733,113.3,0
